HT_AT_DATE,DATE,HT,AT,HT_RD,AT_RD,HT_ELO,AT_ELO,HT_HPG,AT_HPG,HT_PREV_SC,AT_PREV_SC,HT_WL_RATIO,AT_WL_RATIO,HT_AVG_SC,AT_AVG_SC,HT_SC,AT_SC
COL_ARI_2021-04-07,2021-04-07,6,4,-5.0,-8.0,1475.21890076758,1497.25795409633,7.5,7.5,5.0,0.0,0.3333333333333333,0.3333333333333333,5.25,3.0,8.0,10.0
TEX_TOR_2021-04-07,2021-04-07,11,9,-10.0,4.0,1471.75884835033,1502.138970821,8.4,7.4,2.0,1.0,0.6666666666666666,1.5,5.0,3.2,7.0,4.0
WSH_ATL_2021-04-07,2021-04-07,3,26,-1.0,-5.0,1521.13379820684,1531.90021401169,6.0,4.4,0.0,2.0,1.0,0.25,3.0,2.0,6.0,7.0
CLE_KC_2021-04-07,2021-04-07,15,12,-1.0,10.0,1509.41405564927,1480.64728518744,6.5,10.75,0.0,3.0,0.3333333333333333,3.0,3.25,7.75,4.0,2.0
TOR_LAA_2021-04-08,2021-04-08,9,5,1.0,-1.0,1500.74297558046,1490.8861932882,7.166666666666667,8.5,4.0,7.0,1.0,1.0,3.3333333333333335,4.5,5.0,7.0
STL_MIL_2021-04-08,2021-04-08,28,2,3.0,-3.0,1516.61595696949,1501.99768047889,6.833333333333333,5.666666666666667,7.0,4.0,2.0,1.0,5.5,3.1666666666666665,3.0,1.0
MIN_SEA_2021-04-08,2021-04-08,17,1,16.0,-10.0,1529.6506504667,1485.54548954772,9.166666666666666,6.4,3.0,4.0,2.0,0.6666666666666666,6.0,4.6,10.0,2.0
NYM_MIA_2021-04-08,2021-04-08,14,7,-4.0,-12.0,1502.96953573171,1477.04460678307,8.666666666666666,5.0,2.0,0.0,0.5,0.0,4.333333333333333,1.0,3.0,2.0
BAL_BOS_2021-04-08,2021-04-08,18,23,2.0,4.0,1485.09055484018,1501.03743176349,8.166666666666666,9.0,4.0,9.0,2.0,1.0,4.0,5.166666666666667,3.0,7.0
PIT_CHC_2021-04-08,2021-04-08,20,25,-25.0,-1.0,1457.8684515502,1507.9299777124,6.5,3.5,4.0,2.0,0.2,1.0,2.8333333333333335,3.1666666666666665,2.0,4.0
COL_ARI_2021-04-08,2021-04-08,6,4,-7.0,-6.0,1478.96984803836,1493.50700682555,7.8,8.6,8.0,10.0,0.25,0.6666666666666666,5.8,4.4,8.0,0.0
COL_ARI_2021-04-08,2021-04-08,6,4,1.0,-14.0,1478.96984803836,1493.50700682555,8.166666666666666,8.0,8.0,0.0,0.5,0.5,6.166666666666667,3.6666666666666665,7.0,3.0
CLE_DET_2021-04-09,2021-04-09,15,22,1.0,-11.0,1510.85011403013,1448.71754437182,6.8,7.166666666666667,4.0,2.0,0.6666666666666666,1.0,3.4,3.8333333333333335,4.0,1.0
SF_COL_2021-04-09,2021-04-09,27,6,2.0,5.0,1501.41687508001,1481.31876600625,9.0,8.428571428571429,6.0,7.0,1.0,0.75,6.5,6.285714285714286,3.0,1.0
ATL_PHI_2021-04-09,2021-04-09,26,19,-4.0,10.0,1533.84803940955,1507.27269210927,5.166666666666667,8.5,7.0,8.0,0.5,5.0,2.8333333333333335,4.333333333333333,8.0,1.0
TB_NYY_2021-04-09,2021-04-09,8,30,-17.0,10.0,1532.62348680663,1541.06985009686,6.666666666666667,8.833333333333334,2.0,3.0,0.0,1.0,3.0,4.166666666666667,10.0,5.0
LAD_WSH_2021-04-09,2021-04-09,29,3,15.0,-2.0,1580.41976341858,1519.18597280898,11.428571428571429,7.0,5.0,6.0,2.5,0.5,6.285714285714286,4.0,1.0,0.0
TOR_LAA_2021-04-09,2021-04-09,9,5,-1.0,1.0,1498.73824296295,1492.89092590571,7.142857142857143,9.333333333333334,5.0,7.0,0.75,2.0,3.5714285714285716,5.333333333333333,1.0,7.0
HOU_OAK_2021-04-09,2021-04-09,13,24,27.0,-36.0,1551.28490658457,1507.51655212046,10.833333333333334,5.285714285714286,6.0,1.0,5.0,0.16666666666666666,7.5,2.4285714285714284,6.0,2.0
TEX_SD_2021-04-10,2021-04-10,11,10,-7.0,8.0,1471.1867116259,1517.47553039605,8.833333333333334,8.75,7.0,7.0,1.0,3.0,5.333333333333333,5.0,4.0,7.0
PIT_CHC_2021-04-10,2021-04-10,20,25,-27.0,1.0,1456.17259686557,1509.62583239703,6.571428571428571,4.571428571428571,2.0,4.0,0.16666666666666666,1.3333333333333333,2.7142857142857144,3.2857142857142856,8.0,2.0
CLE_DET_2021-04-10,2021-04-10,15,22,4.0,-14.0,1512.36019369437,1447.20746470758,6.833333333333333,6.714285714285714,4.0,1.0,1.0,0.75,3.5,3.4285714285714284,11.0,3.0
HOU_OAK_2021-04-10,2021-04-10,13,24,31.0,-40.0,1548.02998043256,1510.77147827247,10.428571428571429,5.375,6.0,2.0,6.0,0.14285714285714285,7.285714285714286,2.375,3.0,7.0
SF_COL_2021-04-10,2021-04-10,27,6,4.0,3.0,1502.9968172538,1479.73882383246,7.666666666666667,7.875,3.0,1.0,2.0,0.6,5.333333333333333,5.625,4.0,3.0
STL_MIL_2021-04-10,2021-04-10,28,2,5.0,-5.0,1518.19588551347,1500.41775193491,6.571428571428571,5.714285714285714,3.0,1.0,2.5,0.75,5.142857142857143,2.857142857142857,5.0,9.0
MIN_SEA_2021-04-10,2021-04-10,17,1,24.0,-18.0,1532.55957665825,1482.63656335617,10.142857142857142,6.5,10.0,2.0,2.5,0.5,6.571428571428571,4.166666666666667,3.0,4.0
TOR_LAA_2021-04-10,2021-04-10,9,5,-7.0,7.0,1495.12754095138,1496.50162791728,6.875,9.25,1.0,7.0,0.6,3.0,3.25,5.75,15.0,1.0
TB_NYY_2021-04-10,2021-04-10,8,30,-12.0,5.0,1535.44189261551,1538.25144428798,8.25,8.571428571428571,10.0,5.0,0.3333333333333333,0.75,4.75,4.285714285714286,4.0,0.0
ARI_CIN_2021-04-10,2021-04-10,4,21,-18.0,31.0,1489.77300528093,1512.37978923874,7.571428571428571,10.833333333333334,3.0,11.0,0.4,5.0,3.5714285714285716,9.5,5.0,6.0
HOU_OAK_2021-04-10,2021-04-10,13,24,27.0,-36.0,1548.02998043256,1510.77147827247,10.25,6.0,3.0,7.0,3.0,0.2857142857142857,6.75,2.888888888888889,2.0,6.0
TEX_SD_2021-04-10,2021-04-10,11,10,-10.0,11.0,1471.1867116259,1517.47553039605,8.571428571428571,9.8,4.0,7.0,0.75,4.0,5.142857142857143,5.4,0.0,3.0
ATL_PHI_2021-04-10,2021-04-10,26,19,3.0,3.0,1536.79870698745,1504.32202453137,6.0,8.142857142857142,8.0,1.0,0.75,2.5,3.5714285714285716,3.857142857142857,5.0,4.0
BAL_BOS_2021-04-10,2021-04-10,18,23,-2.0,8.0,1482.44093539256,1503.68705121111,7.714285714285714,9.428571428571429,3.0,7.0,1.3333333333333333,1.3333333333333333,3.857142857142857,5.428571428571429,4.0,6.0
NYM_MIA_2021-04-10,2021-04-10,14,7,-3.0,-13.0,1504.11919002952,1475.89495248526,8.25,5.0,3.0,2.0,1.0,0.0,4.0,1.25,0.0,3.0
TEX_SD_2021-04-11,2021-04-11,11,10,-13.0,14.0,1469.24849381793,1519.41374820402,7.5,9.5,0.0,3.0,0.6,5.0,4.5,5.0,0.0,2.0
ATL_PHI_2021-04-11,2021-04-11,26,19,4.0,2.0,1537.893581067,1503.22715045182,6.375,7.875,5.0,4.0,1.0,1.6666666666666667,3.75,3.875,6.0,7.0
LAD_WSH_2021-04-11,2021-04-11,29,3,16.0,-3.0,1583.31238275484,1516.29335347272,10.5,7.25,1.0,0.0,3.0,0.3333333333333333,5.625,3.0,3.0,0.0
ARI_CIN_2021-04-11,2021-04-11,4,21,-19.0,32.0,1492.67306937601,1509.47972514366,7.375,10.857142857142858,5.0,6.0,0.3333333333333333,6.0,3.75,9.0,7.0,0.0
SF_COL_2021-04-11,2021-04-11,27,6,5.0,2.0,1504.19068574217,1478.54495534409,7.0,8.0,4.0,3.0,3.0,0.5,5.0,5.333333333333333,4.0,0.0
STL_MIL_2021-04-11,2021-04-11,28,2,1.0,-1.0,1515.19100645532,1503.42263099306,7.125,6.625,5.0,9.0,1.6666666666666667,1.0,5.125,3.625,3.0,9.0
BAL_BOS_2021-04-11,2021-04-11,18,23,-4.0,10.0,1480.63019425807,1505.4977923456,7.75,9.5,4.0,6.0,1.0,1.6666666666666667,3.875,5.5,9.0,14.0
CLE_DET_2021-04-11,2021-04-11,15,22,12.0,-22.0,1515.00847457645,1444.5591838255,7.142857142857143,6.5,11.0,3.0,1.3333333333333333,0.6,4.571428571428571,3.375,5.0,2.0
TB_NYY_2021-04-11,2021-04-11,8,30,-8.0,1.0,1537.87592410732,1535.81741279617,8.6,8.125,4.0,0.0,0.6666666666666666,0.6,4.6,3.75,4.0,8.0
PIT_CHC_2021-04-11,2021-04-11,20,25,-21.0,-5.0,1459.8519728598,1505.9464564028,6.875,5.0,8.0,2.0,0.3333333333333333,1.0,3.375,3.125,7.0,1.0
LAD_WSH_2021-04-11,2021-04-11,29,3,19.0,-6.0,1583.31238275484,1516.29335347272,9.88888888888889,7.2,3.0,0.0,3.5,0.25,5.333333333333333,2.4,9.0,5.0
MIN_SEA_2021-04-11,2021-04-11,17,1,23.0,-17.0,1530.82951453902,1484.3666254754,9.625,6.571428571428571,3.0,4.0,1.6666666666666667,0.75,6.125,4.142857142857143,6.0,8.0
ARI_CIN_2021-04-11,2021-04-11,4,21,-12.0,25.0,1492.67306937601,1509.47972514366,8.0,9.75,7.0,0.0,0.5,3.0,4.111111111111111,7.875,8.0,3.0
STL_WSH_2021-04-12,2021-04-12,28,3,-5.0,-10.0,1511.46788196887,1514.72346379768,7.222222222222222,8.5,3.0,5.0,1.25,0.2,4.888888888888889,2.8333333333333335,2.0,5.0
PIT_SD_2021-04-12,2021-04-12,20,10,-15.0,16.0,1463.4430581436,1520.94704095008,7.666666666666667,8.857142857142858,7.0,2.0,0.5,6.0,3.7777777777777777,4.571428571428571,2.0,6.0
TOR_NYY_2021-04-12,2021-04-12,9,30,7.0,5.0,1500.24822742627,1538.70061669991,7.666666666666667,8.222222222222221,15.0,8.0,0.8,0.8,4.555555555555555,4.222222222222222,1.0,3.0
TB_TEX_2021-04-12,2021-04-12,8,11,-12.0,-15.0,1534.99272020358,1467.71520107187,8.166666666666666,7.222222222222222,4.0,0.0,0.5,0.5,4.5,4.0,1.0,0.0
ATL_MIA_2021-04-12,2021-04-12,26,7,3.0,-10.0,1536.22843436006,1478.56551824079,6.777777777777778,5.6,6.0,3.0,0.8,0.25,4.0,1.6,3.0,5.0
MIL_CHC_2021-04-12,2021-04-12,2,25,5.0,-11.0,1507.14575547951,1502.355371119,6.888888888888889,5.0,9.0,1.0,1.25,0.8,4.222222222222222,2.888888888888889,6.0,3.0
BAL_SEA_2021-04-13,2021-04-13,18,1,-9.0,-15.0,1476.2715759804,1487.97322521865,8.0,7.5,9.0,8.0,0.8,1.0,4.444444444444445,4.625,7.0,6.0
STL_WSH_2021-04-13,2021-04-13,28,3,-8.0,-7.0,1509.06261260292,1517.12873316363,7.1,9.0,2.0,5.0,1.0,0.4,4.6,3.142857142857143,14.0,3.0
MIL_CHC_2021-04-13,2021-04-13,2,25,8.0,-14.0,1509.18280087032,1500.31832572819,7.0,4.9,6.0,3.0,1.5,0.6666666666666666,4.4,2.9,2.0,3.0
ATL_MIA_2021-04-13,2021-04-13,26,7,1.0,-8.0,1533.86797721455,1480.9259753863,6.5,6.0,3.0,5.0,0.6666666666666666,0.5,3.9,2.1666666666666665,8.0,14.0
TB_TEX_2021-04-13,2021-04-13,8,11,-11.0,-16.0,1535.9524646686,1466.75545660685,7.428571428571429,6.8,1.0,0.0,0.75,0.42857142857142855,4.0,3.6,3.0,8.0
TOR_NYY_2021-04-13,2021-04-13,9,30,5.0,7.0,1498.55483820775,1540.39400591843,7.4,7.8,1.0,3.0,0.6666666666666666,1.0,4.2,4.1,7.0,3.0
PIT_SD_2021-04-13,2021-04-13,20,10,-19.0,20.0,1461.11966172016,1523.27043737352,7.5,9.0,2.0,6.0,0.42857142857142855,7.0,3.6,4.75,8.0,4.0
MIN_BOS_2021-04-13,2021-04-13,17,23,21.0,15.0,1528.66220565501,1508.41711976403,9.444444444444445,10.333333333333334,6.0,14.0,1.25,2.0,6.111111111111111,6.444444444444445,2.0,4.0
ARI_OAK_2021-04-13,2021-04-13,4,24,-7.0,-32.0,1493.53690365069,1516.58164796707,8.2,6.1,8.0,6.0,0.6666666666666666,0.42857142857142855,4.5,3.2,5.0,7.0
ARI_OAK_2021-04-13,2021-04-13,4,24,-9.0,-30.0,1493.53690365069,1516.58164796707,8.181818181818182,6.545454545454546,5.0,7.0,0.5714285714285714,0.5714285714285714,4.545454545454546,3.5454545454545454,5.0,9.0
CWS_CLE_2021-04-13,2021-04-13,16,15,8.0,15.0,1509.35249267242,1515.16841374815,8.666666666666666,7.125,10.0,5.0,2.0,1.6666666666666667,6.666666666666667,4.625,4.0,3.0
HOU_DET_2021-04-13,2021-04-13,13,22,23.0,-25.0,1541.0026711798,1446.94606658251,10.0,6.222222222222222,2.0,2.0,2.0,0.5,6.222222222222222,3.2222222222222223,2.0,6.0
NYM_PHI_2021-04-13,2021-04-13,14,19,-6.0,3.0,1502.74621236508,1503.59470906767,7.2,7.888888888888889,0.0,7.0,0.6666666666666666,2.0,3.2,4.222222222222222,4.0,3.0
